Wall time,Step,Value
1630300807.963346,0,751.8134155273438
1630307796.801074,100,1448.2064208984375
1630315011.554459,200,1586.7274169921875
1630322361.205679,300,1581.1490478515625
1630329455.419283,400,1334.9613037109375
1630336304.928172,500,681.5178833007812
1630343269.988619,600,1091.044677734375
1630350210.83813,700,1136.0220947265625
1630357224.397721,800,804.1001586914062
1630364605.110919,900,479.6823425292969
1630371545.181517,1000,715.9359741210938
1630378191.096259,1100,677.6525268554688
1630385192.734638,1200,369.8161926269531
1630392226.721149,1300,808.7896118164062
1630399484.093926,1400,483.9396667480469
1630406567.264131,1500,985.3087158203125
1630413677.58902,1600,779.317138671875
1630420417.544737,1700,350.2033996582031
1630427233.381243,1800,543.8870239257812
1630434018.054469,1900,358.26556396484375
1630440569.645405,2000,923.0758666992188
1630447441.196478,2100,398.1637268066406
1630454598.261318,2200,835.8800048828125
1630461232.597928,2300,658.1671142578125
1630467910.122912,2400,1094.1019287109375
1630475135.502809,2500,390.66552734375
1630482114.706198,2600,385.8937072753906
1630489038.300664,2700,829.576416015625
1630496140.342627,2800,364.6785583496094
1630503200.2147,2900,384.8106994628906
1630510166.601123,3000,1108.750732421875
1630517010.211984,3100,1105.90283203125
1630523890.668895,3200,398.9707336425781
1630530866.845132,3300,665.555419921875
1630538055.039111,3400,673.2206420898438
1630544925.885281,3500,360.51873779296875
1630552135.003632,3600,732.138427734375
1630559158.14232,3700,436.77374267578125
1630566154.233521,3800,732.9439697265625
1630573629.728729,3900,1009.0105590820312
1630580691.374284,4000,359.7136535644531
1630587630.166287,4100,737.2485961914062
1630594626.375103,4200,750.0465087890625
1630601597.420181,4300,366.0845642089844
1630608189.645818,4400,367.72344970703125
1630615423.138105,4500,449.2685241699219
1630622544.804228,4600,1031.3973388671875
1630629712.074207,4700,883.2421264648438
1630637042.360167,4800,944.5321044921875
1630644405.912604,4900,948.1802368164062
1630650804.315153,5000,741.360595703125
1630657140.880018,5100,355.50360107421875
1630663997.612048,5200,367.7008972167969
1630671356.270391,5300,477.8482971191406
1630677924.006511,5400,352.85919189453125
1630684618.942191,5500,449.7931823730469
1630691160.667236,5600,982.5511474609375
1630697874.417137,5700,546.1058349609375
1630704571.437289,5800,371.4753723144531
1630711783.549115,5900,334.9897155761719
1630718737.582841,6000,334.9897155761719
1630725862.83602,6100,441.2572021484375
