Wall time,Step,Value
1630300809.746144,0,0.0
1630307797.524006,100,8.0
1630315012.070092,200,5.0
1630322362.179642,300,0.0
1630329456.153809,400,4.0
1630336305.739238,500,1.0
1630343270.936296,600,1.0
1630350211.666237,700,0.0
1630357225.029562,800,3.0
1630364606.01471,900,3.0
1630371546.060749,1000,1.0
1630378191.858855,1100,0.0
1630385193.530348,1200,2.0
1630392227.483768,1300,2.0
1630399485.198703,1400,3.0
1630406568.161406,1500,0.0
1630413678.498014,1600,0.0
1630420418.295237,1700,0.0
1630427234.009775,1800,5.0
1630434019.160471,1900,0.0
1630440570.368243,2000,2.0
1630447442.161716,2100,0.0
1630454598.936392,2200,0.0
1630461233.270414,2300,0.0
1630467910.833359,2400,0.0
1630475136.289228,2500,0.0
1630482115.490755,2600,4.0
1630489039.297011,2700,0.0
1630496141.222474,2800,0.0
1630503201.276238,2900,0.0
1630510167.329459,3000,1.0
1630517010.928118,3100,3.0
1630523891.729691,3200,0.0
1630530867.506646,3300,1.0
1630538055.900346,3400,1.0
1630544926.892682,3500,1.0
1630552135.83182,3600,1.0
1630559158.895127,3700,0.0
1630566155.07391,3800,0.0
1630573630.55481,3900,3.0
1630580692.301767,4000,2.0
1630587631.209902,4100,2.0
1630594627.490926,4200,2.0
1630601598.457724,4300,0.0
1630608190.427771,4400,0.0
1630615423.980912,4500,0.0
1630622545.603434,4600,0.0
1630629712.846098,4700,1.0
1630637043.230451,4800,3.0
1630644406.526399,4900,4.0
1630650805.015688,5000,0.0
1630657142.009562,5100,0.0
1630663998.470192,5200,0.0
1630671357.175642,5300,0.0
1630677925.060047,5400,0.0
1630684619.907118,5500,0.0
1630691161.327054,5600,1.0
1630697875.226042,5700,1.0
1630704572.435407,5800,0.0
1630711784.565143,5900,0.0
1630718738.559733,6000,0.0
1630725863.864069,6100,0.0
